order_id,order_item_id,product_id,shipping_limit_date,price,freight_value,volume
023669233121f0fb7899e5be2b22885f,2,4dba4de4cd67ba2191c34468ac2ca841,2018-04-23 04:54:27,38.9,16.56,Alta
023669233121f0fb7899e5be2b22885f,1,6b6b162b177d0f36987993aecbe1c65f,2018-04-23 04:54:27,109.99,23.25,Média
023669233121f0fb7899e5be2b22885f,3,784c94d1803e49492d2758907914b26c,2018-04-23 04:54:27,109.9,19.76,Alta
26eb89695b8e32d466d5fa42266eaf87,1,784c94d1803e49492d2758907914b26c,2018-05-24 20:18:53,109.9,23.08,Alta
556c0a42a8e9e57a6e411701908f0fd3,1,636d2453c7fc23e23b0e356f1dc20793,2018-07-19 03:50:07,59.9,39.02,Alta
aa8adac0e00cc6ceffb7b5f3548e5c9c,1,672a21bf17c63f71edbe01ecb9b14814,2018-06-20 14:25:45,35.9,17.53,Média
e0a50ed7a5ce30e34da29ca222748a5c,1,672a21bf17c63f71edbe01ecb9b14814,2018-03-16 11:50:33,32.9,14.44,Média
b83fe0e59b384422cac91db5d32e1835,1,cef16b173166d8d44b4fbf05b4b43bec,2018-06-13 21:11:28,17.9,11.15,Baixa
bc69ce22573ef61da22888eb42b976d1,1,e1da6ab77f4859eb17950e5df1c0f815,2018-03-21 11:49:02,45.9,17.26,Baixa
bc69ce22573ef61da22888eb42b976d1,2,e1da6ab77f4859eb17950e5df1c0f815,2018-03-21 11:49:02,45.9,17.26,Baixa
e55253f870ba00d40f6f01475ceecd3c,1,e1da6ab77f4859eb17950e5df1c0f815,2018-03-27 02:55:22,49.9,12.43,Baixa
e55253f870ba00d40f6f01475ceecd3c,2,e1da6ab77f4859eb17950e5df1c0f815,2018-03-27 02:55:22,49.9,12.43,Baixa
f1c86903d3391692abff1d2cbdb642ad,1,356260965b761056864ff939baeb4b22,2018-05-11 18:50:13,39.99,11.15,Alta
02d2287dea15cd93d945f1749f3288ed,1,65e3848513c9ab70bf542e5d694cf072,2017-02-06 16:59:03,36.85,11.74,Baixa
3fb5cb07abb84703f0890f6c92589bb8,1,4c8541293fb2d3359cf52485b4d59b8e,2017-02-25 18:40:29,63.36,9.38,Baixa
3fb5cb07abb84703f0890f6c92589bb8,2,44f90f085c7a825863cbf867990e1513,2017-02-25 18:40:29,26.14,9.39,Baixa
49287801ce45d679f7744b39f6fb6131,1,d2c26c86faaf287263610735e07f1b3d,2018-05-14 20:15:09,106.0,11.37,Baixa
