geolocation_id,geolocation_lat,geolocation_lng,city,state,id,customer_id
1037,-23.54562128115268,-46.63929204800168,SAO PAULO,SP,0,05b005e82f3f2dcc41b5504f00484e50
1046,-23.54608112703553,-46.64482029837157,SAO PAULO,SP,1,9a02295e3381803554347ab4dc1ab41b
1035,-23.541577961711493,-46.64160722329613,SAO PAULO,SP,4,30d149ba8c3793107e4829a8aaa4406f
1012,-23.547762303364262,-46.63536053788448,SAO PAULO,SP,5,c5c064df6a4c428df004ad4759092dcb
1047,-23.54627311241268,-46.64122516971552,SAO PAULO,SP,6,2c32dba7a49f14ff6c477b91e8a7fb06
1032,-23.53841810407414,-46.634778375266734,SAO PAULO,SP,11,b941f36f010c46501e130569c3f7a490
1024,-23.541389521053937,-46.62989908781218,SAO PAULO,SP,17,0264bbda6bd6492c79a5843f7c2e1eb4
1009,-23.54693540437998,-46.63658792659698,SAO PAULO,SP,18,d0f3f691b729cd317bc9284b0c0c2fbc
1043,-23.546656718016017,-46.64078762115524,SAO PAULO,SP,23,cd26b8d2d69af3bf6fd64e23cb6020c1
1050,-23.549773516504185,-46.64559900666509,SAO PAULO,SP,24,d9cccfd1f0263ed3801c621a7a63b8ce
1017,-23.55001091199737,-46.63116636914989,SAO PAULO,SP,32,5c6f90081fa82c6502575fd32cf54c2e
1027,-23.538301166801343,-46.63076391104508,SAO PAULO,SP,39,e45d7222b87e8b15b377853dba5be723
1036,-23.541700023861782,-46.64131782056096,SAO PAULO,SP,64,f6ad977a249563a1b6f614caa83909dc
1048,-23.547448918662464,-46.64016924063704,SAO PAULO,SP,71,4ca9f150dfdd7257bd211c0c7c5bb752
1031,-23.536864121011018,-46.63349313820771,SAO PAULO,SP,77,9484e4e49e1711abe997984a89cb4f1e
1003,-23.54903244546711,-46.63531311226845,SAO PAULO,SP,90,7ae2a9337aa4bc799723511faa1d6830
1015,-23.544826346129778,-46.63086956396899,SAO PAULO,SP,110,8197dc246c4a83cb58834c3495716dc0
1038,-23.542679676299095,-46.63819683884986,SAO PAULO,SP,121,554ce400f275abc5439b06a3ba67a0ab
1016,-23.54849512877264,-46.633490627676125,SAO PAULO,SP,123,de4226aa985c654b32ef83603e0cdbbb
1049,-23.54530659310986,-46.636994571065735,SAO PAULO,SP,124,583c04eb909c371a1bb82915e0d57881
1044,-23.54575105023373,-46.64132693574358,SAO PAULO,SP,132,d829dcbbc1ddabd3a91c20b64e2ce5d8
1030,-23.538363904524203,-46.63293009824575,SAO PAULO,SP,176,1ea8e45ffebf367b2f046c8b3c8ff230
1025,-23.539920936547933,-46.6283479287932,SAO PAULO,SP,241,b45ea9acbd0aea9a6cf36bfefb9675b6
1023,-23.54260295697964,-46.63094283625709,SAO PAULO,SP,257,ebc03139c4eacc7f77065c3dcfd98612
1155,-23.52878808243405,-46.664404203300826,SAO PAULO,SP,1458,bc6123686b421b9084028c34499824c4
1150,-23.532255303364263,-46.662756071469765,SAO PAULO,SP,1460,b364374999f56fe16589dd6eeaf7f0b0
1139,-23.52076037607479,-46.661384138207694,SAO PAULO,SP,1463,780fb7cdabcbcf7c7d94e3e4ae1fd577
1136,-23.52350959838998,-46.666944167638064,SAO PAULO,SP,1466,3dfe1e8914daca38e62f48e2bd9fee62
1103,-23.53538864556528,-46.631747708436734,SAO PAULO,SP,1470,24c38fd30a0c822c183c67d3720f2c47
1151,-23.527788191788307,-46.66030962184773,SAO PAULO,SP,1474,4e7b3e00288586ebd08712fdd0374a03
1131,-23.52164183207347,-46.64747554830047,SAO PAULO,SP,1486,128664a3f38d78795c698c380488a5dd
1121,-23.524588477378973,-46.634392141554585,SAO PAULO,SP,1487,b9e4d8c0a644aaa42e1eff5912fe8316
1141,-23.52011919677996,-46.66584000098096,SAO PAULO,SP,1489,c220ab170a166e41e97034894f1ff1e0
1125,-23.529050497085805,-46.63889432139766,SAO PAULO,SP,1490,e192295a80bc140473d53f22afc589f4
1102,-23.52261021648681,-46.62942387523806,SAO PAULO,SP,1491,1d6f2e4efdab5db04ec1b691e00cd664
1127,-23.52773504025041,-46.64480016028046,SAO PAULO,SP,1492,2a1dbcc0c26487ca29fe53b16de930a5
